"year","sector","activity","domestic_va_musd","total_va_musd","domestic_share","domestic_share_pct"
1995,"Agriculture","A",29696.555,39214.208,0.757290699330202,75.7290699330202
1996,"Agriculture","A",28992.218,38538.853,0.752285440358072,75.2285440358072
1997,"Agriculture","A",25599.496,34540.006,0.741154937842223,74.1154937842223
1998,"Agriculture","A",26115.321,35304.957,0.739706919909292,73.9706919909292
1999,"Agriculture","A",24896.765,33738.404,0.73793546962091,73.793546962091
2000,"Agriculture","A",21680.947,30169.952,0.718627162549016,71.8627162549016
2001,"Agriculture","A",21869.019,30379.573,0.719859327845062,71.9859327845062
2002,"Agriculture","A",22971.782,31868.642,0.720827137849175,72.0827137849175
2003,"Agriculture","A",26013.755,36947.741,0.704068890165707,70.4068890165707
2004,"Agriculture","A",29928.382,41578.171,0.719809969515013,71.9809969515013
2005,"Agriculture","A",28929.899,40893.911,0.707437813908286,70.7437813908286
2006,"Agriculture","A",27599.708,40717.153,0.677839828339668,67.7839828339668
2007,"Agriculture","A",33318.904,49024.412,0.679639033712429,67.9639033712429
2008,"Agriculture","A",32957.932,50301.036,0.655213781282755,65.5213781282755
2009,"Agriculture","A",27457.312,42354.052,0.648280641483842,64.8280641483842
2010,"Agriculture","A",31391.926,47801.433,0.656715165840321,65.6715165840321
2011,"Agriculture","A",34068.268,53102.369,0.641558345541985,64.1558345541985
2012,"Agriculture","A",31545.575,49142.289,0.641923191652713,64.1923191652713
2013,"Agriculture","A",29429.627,47529.421,0.619187576469741,61.9187576469741
2014,"Agriculture","A",32474.062,51326.719,0.632693120321991,63.2693120321991
2015,"Agriculture","A",27568.062,44486.132,0.619700134864501,61.9700134864501
2016,"Agriculture","A",25509.911,41835.747,0.609763487670006,60.9763487670006
2017,"Agriculture","A",28588.496,46499.103,0.614818225633299,61.4818225633299
2018,"Agriculture","A",32667.193,51663.943,0.632301584104798,63.2301584104798
2019,"Agriculture","A",28728.275,46981.04,0.61148656990139,61.148656990139
2020,"Agriculture","A",29592.405,46061.673,0.642451805864715,64.2451805864715
2021,"Agriculture","A",34157.468,52830.017,0.646554173927296,64.6554173927296
2022,"Agriculture","A",34846.289,56316.961,0.618753007641872,61.8753007641872
1995,"Construction","F",77116.685,79387.582,0.971394808321533,97.1394808321533
1996,"Construction","F",73146.688,75250.928,0.972037022586618,97.2037022586618
1997,"Construction","F",63603.199,65526.509,0.970648367670556,97.0648367670556
1998,"Construction","F",63907.082,66051.186,0.96753875093174,96.753875093174
1999,"Construction","F",64836.478,67033.326,0.967227525007487,96.7227525007487
2000,"Construction","F",60780.607,62939.364,0.965701003905918,96.5701003905918
2001,"Construction","F",62463.177,64743.621,0.964777317598594,96.4777317598594
2002,"Construction","F",68887.789,71278.1,0.966465001171468,96.6465001171468
2003,"Construction","F",86598.739,89481.315,0.967785721521862,96.7785721521862
2004,"Construction","F",102441.24,105834.259,0.967940258361898,96.7940258361898
2005,"Construction","F",109299.854,112854.919,0.968498803317559,96.8498803317559
2006,"Construction","F",121199.406,125053.228,0.969182546811187,96.9182546811187
2007,"Construction","F",147196.458,151755.092,0.969960586231927,96.9960586231927
2008,"Construction","F",169518.114,174207.907,0.973079333304888,97.3079333304888
2009,"Construction","F",154404.644,158449.88,0.9744699333316,97.44699333316
2010,"Construction","F",147290.871,151492.709,0.972263760891622,97.2263760891622
2011,"Construction","F",160473.263,165276.154,0.970940205929526,97.0940205929526
2012,"Construction","F",146242.016,150784.979,0.969871249575861,96.9871249575861
2013,"Construction","F",154282.01,158950.729,0.970627885575788,97.0627885575788
2014,"Construction","F",152208.756,156989.248,0.969548920955402,96.9548920955402
2015,"Construction","F",124169.931,128348.176,0.967446011854504,96.7446011854504
2016,"Construction","F",124108.448,128495.381,0.965859216371365,96.5859216371365
2017,"Construction","F",132781.594,137572.281,0.965176945783141,96.5176945783141
2018,"Construction","F",143216.414,148434.52,0.964845738039911,96.4845738039912
2019,"Construction","F",144308.25,149234.52,0.966989742051638,96.6989742051638
2020,"Construction","F",138264.591,142933.684,0.96733385113057,96.733385113057
2021,"Construction","F",157401.869,162941.557,0.966001994199675,96.6001994199675
2022,"Construction","F",141230.277,147563.476,0.95708152740994,95.708152740994
1995,"Energy","D_E",33035.157,38460.633,0.858934303031362,85.8934303031362
1996,"Energy","D_E",33723.593,39202.521,0.860240416681366,86.0240416681366
1997,"Energy","D_E",27950.421,32949.572,0.848278727262375,84.8278727262375
1998,"Energy","D_E",29304.25,34649.977,0.845722062095453,84.5722062095453
1999,"Energy","D_E",28262.095,33618.139,0.84067993769673,84.067993769673
2000,"Energy","D_E",25248.173,30459.938,0.828897714762256,82.8897714762256
2001,"Energy","D_E",25349.217,30544.916,0.829899712279451,82.9899712279451
2002,"Energy","D_E",27859.772,33319.176,0.836148288901262,83.6148288901262
2003,"Energy","D_E",33978.243,40670.358,0.835454730936964,83.5454730936964
2004,"Energy","D_E",39774.336,47902.241,0.830323074029042,83.0323074029042
2005,"Energy","D_E",40488.302,49252.394,0.822057543030294,82.2057543030294
2006,"Energy","D_E",41786.64,51503.439,0.81133688956188,81.133688956188
2007,"Energy","D_E",41377.391,52842.998,0.783025047140588,78.3025047140588
2008,"Energy","D_E",42358.146,55611.22,0.761683451648786,76.1683451648786
2009,"Energy","D_E",40996.777,52487.311,0.781079773738075,78.1079773738075
2010,"Energy","D_E",39400.192,51614.039,0.763361921743811,76.3361921743811
2011,"Energy","D_E",42455.004,55848.887,0.760176366630189,76.0176366630189
2012,"Energy","D_E",40837.22,53448.808,0.764043605986498,76.4043605986498
2013,"Energy","D_E",44122.21,56885.953,0.775625750701584,77.5625750701584
2014,"Energy","D_E",43891.316,56399.873,0.778216575062146,77.8216575062146
2015,"Energy","D_E",36948.637,47534.003,0.777309602980418,77.7309602980418
2016,"Energy","D_E",37322.389,47883.63,0.779439424287591,77.9439424287591
2017,"Energy","D_E",36276.919,47603.177,0.762069283737092,76.2069283737092
2018,"Energy","D_E",40210.492,52547.038,0.765228517733007,76.5228517733007
2019,"Energy","D_E",41452.626,53550.674,0.774082245911601,77.4082245911601
2020,"Energy","D_E",43450.408,55082.297,0.788827089037336,78.8827089037336
2021,"Energy","D_E",44792.112,59680.263,0.750534762221138,75.0534762221138
2022,"Energy","D_E",37816.55,60206.069,0.628118570571349,62.8118570571349
1995,"Manufacturing Industry","C",147259.888,238456.802,0.617553732017257,61.7553732017257
1996,"Manufacturing Industry","C",140538.012,230142.797,0.610655705205495,61.0655705205495
1997,"Manufacturing Industry","C",120684.069,203749.251,0.59231662647928,59.231662647928
1998,"Manufacturing Industry","C",125308.88,215293.384,0.582037764801913,58.2037764801913
1999,"Manufacturing Industry","C",123222.353,214108.548,0.575513468056399,57.5513468056399
2000,"Manufacturing Industry","C",110608.829,201202.916,0.549737703602665,54.9737703602665
2001,"Manufacturing Industry","C",107505.958,196523.924,0.547037509794482,54.7037509794482
2002,"Manufacturing Industry","C",114195.543,206635.259,0.552643065625117,55.2643065625117
2003,"Manufacturing Industry","C",138880.391,250521.706,0.554364702434207,55.4364702434207
