"sector","year","indicator","gva","panel","gross_value_added_ths_eur","french_va_in_foreign_final_use_ths_eur","foreign_va_in_french_final_use_ths_eur","french_va_in_french_final_use_ths_eur","total_va_in_french_final_use_ths_eur","french_share","french_share_pct","color"
"Chemicals",2010,"C20","C20",1,14532299,9296226.221,10709248.88,5236072.779,15945321.659,0.328376742155252,32.8376742155252,"#af7aa1"
"Chemicals",2011,"C20","C20",1,15829960,10012116.495,11829499.567,5817843.505,17647343.072,0.329672488445631,32.9672488445631,"#af7aa1"
"Chemicals",2012,"C20","C20",1,15793068,10215576.146,11698226.78,5577491.854,17275718.634,0.322851510386552,32.2851510386552,"#af7aa1"
"Chemicals",2013,"C20","C20",1,17203366,11452129.182,11292339.308,5751236.818,17043576.126,0.337443079755221,33.7443079755221,"#af7aa1"
"Chemicals",2014,"C20","C20",1,17817547,11999606.778,11886840.949,5817940.222,17704781.171,0.328608423103791,32.8608423103791,"#af7aa1"
"Chemicals",2015,"C20","C20",1,19059526,13029823.336,12566271.952,6029702.664,18595974.616,0.324247735787509,32.424773578751,"#af7aa1"
"Chemicals",2016,"C20","C20",1,18441961,12503470.201,12999879.309,5938490.799,18938370.108,0.313569265207857,31.3569265207857,"#af7aa1"
"Chemicals",2017,"C20","C20",1,19916467,13858594.333,13343406.789,6057872.667,19401279.456,0.312240884975581,31.2240884975581,"#af7aa1"
"Chemicals",2018,"C20","C20",1,19462011,13436427.649,13545606.347,6025583.351,19571189.698,0.307880279327923,30.7880279327923,"#af7aa1"
"Chemicals",2019,"C20","C20",1,20229488,14238734.968,13782912.037,5990753.032,19773665.069,0.302966243794225,30.2966243794225,"#af7aa1"
"Chemicals",2020,"C20","C20",1,17593146,13481345.667,13730583.21,4111800.333,17842383.543,0.230451291616425,23.0451291616425,"#af7aa1"
"Chemicals",2021,"C20","C20",1,18067767,13942084.569,14357146.727,4125682.431,18482829.158,0.223217040839998,22.3217040839998,"#af7aa1"
"Chemicals",2022,"C20","C20",1,21707480,17504398.851,16380996.41,4203081.149,20584077.559,0.204190891573972,20.4190891573972,"#af7aa1"
"Chemicals",2023,"C20","C20",1,19605209,15836803.804,15392331.515,3768405.196,19160736.711,0.196673293560607,19.6673293560607,"#af7aa1"
"Food, beverages & tobacco",2010,"C10-C12","C10-12",1,33423365,8821226.557,8714767.184,24602138.443,33316905.627,0.738428073676279,73.8428073676279,"#e15759"
"Food, beverages & tobacco",2011,"C10-C12","C10-12",1,35457011,9678213.013,9174336.555,25778797.987,34953134.542,0.737524640487507,73.7524640487507,"#e15759"
"Food, beverages & tobacco",2012,"C10-C12","C10-12",1,36190673,10212102.906,9196705.466,25978570.094,35175275.56,0.738546313580038,73.8546313580038,"#e15759"
"Food, beverages & tobacco",2013,"C10-C12","C10-12",1,37732648,10626700.188,9936637.321,27105947.812,37042585.133,0.731750975658883,73.1750975658883,"#e15759"
"Food, beverages & tobacco",2014,"C10-C12","C10-12",1,38647021,10519835.653,10022839.59,28127185.347,38150024.937,0.737278295189807,73.7278295189807,"#e15759"
"Food, beverages & tobacco",2015,"C10-C12","C10-12",1,39417360,10771485.072,10714470.654,28645874.928,39360345.582,0.727785147829091,72.7785147829091,"#e15759"
"Food, beverages & tobacco",2016,"C10-C12","C10-12",1,39994721,10825673.041,10961552.806,29169047.959,40130600.765,0.726853009996298,72.6853009996298,"#e15759"
"Food, beverages & tobacco",2017,"C10-C12","C10-12",1,40637290,11258649.288,11200119.845,29378640.712,40578760.557,0.723990587902076,72.3990587902076,"#e15759"
"Food, beverages & tobacco",2018,"C10-C12","C10-12",1,40538036,10845451.168,11465814.715,29692584.832,41158399.547,0.721422240874385,72.1422240874385,"#e15759"
"Food, beverages & tobacco",2019,"C10-C12","C10-12",1,41822674,11486961.141,11377513.138,30335712.859,41713225.997,0.727244468245677,72.7244468245677,"#e15759"
"Food, beverages & tobacco",2020,"C10-C12","C10-12",1,40704123,11134643.484,11465408.587,29569479.516,41034888.103,0.720593643189153,72.0593643189153,"#e15759"
"Food, beverages & tobacco",2021,"C10-C12","C10-12",1,41833222,12472221.202,11924590.555,29361000.798,41285591.353,0.711168226875028,71.1168226875028,"#e15759"
"Food, beverages & tobacco",2022,"C10-C12","C10-12",1,44510672,13748179.607,13646253.13,30762492.393,44408745.523,0.692712483334338,69.2712483334338,"#e15759"
"Food, beverages & tobacco",2023,"C10-C12","C10-12",1,53031489,15108502.605,14709577.383,37922986.395,52632563.778,0.720523259230847,72.0523259230847,"#e15759"
"Non-metallic minerals",2010,"C23","C23",1,7852304,2111370.487,3197373.946,5740933.513,8938307.459,0.642284184039725,64.2284184039725,"#bab0ac"
"Non-metallic minerals",2011,"C23","C23",1,8288376,2230312.671,3504644.758,6058063.329,9562708.087,0.63350917688637,63.350917688637,"#bab0ac"
"Non-metallic minerals",2012,"C23","C23",1,7943399,2135994.158,3298237.645,5807404.842,9105642.487,0.637780897975201,63.7780897975201,"#bab0ac"
"Non-metallic minerals",2013,"C23","C23",1,7873574,2116125.833,3295094.119,5757448.167,9052542.286,0.636003454621145,63.6003454621145,"#bab0ac"
"Non-metallic minerals",2014,"C23","C23",1,7958708,2175249.992,3409339.687,5783458.008,9192797.695,0.629129259653527,62.9129259653527,"#bab0ac"
"Non-metallic minerals",2015,"C23","C23",1,8021304,2298641.756,3478088.766,5722662.244,9200751.01,0.621977731793874,62.1977731793874,"#bab0ac"
"Non-metallic minerals",2016,"C23","C23",1,8008141,2294819.392,3592683.306,5713321.608,9306004.914,0.613939242542721,61.3939242542721,"#bab0ac"
"Non-metallic minerals",2017,"C23","C23",1,8190519,2324808.234,3795505.676,5865710.766,9661216.442,0.607139980893102,60.7139980893102,"#bab0ac"
"Non-metallic minerals",2018,"C23","C23",1,8277884,2309846.168,3993401.08,5968037.832,9961438.912,0.599114032091351,59.9114032091351,"#bab0ac"
"Non-metallic minerals",2019,"C23","C23",1,8834933,2417221.87,4083935.268,6417711.13,10501646.398,0.611114761131381,61.1114761131381,"#bab0ac"
"Non-metallic minerals",2020,"C23","C23",1,7964334,2032729.46,3876379.138,5931604.54,9807983.678,0.60477308432976,60.477308432976,"#bab0ac"
"Non-metallic minerals",2021,"C23","C23",1,8501784,2162698.496,4455357.467,6339085.504,10794442.971,0.587254527262813,58.7254527262813,"#bab0ac"
"Non-metallic minerals",2022,"C23","C23",1,9302785,2552770.072,5183256.328,6750014.928,11933271.256,0.565646651550481,56.5646651550481,"#bab0ac"
"Non-metallic minerals",2023,"C23","C23",1,11277723,3020092.674,5418612.892,8257630.326,13676243.218,0.60379376078452,60.379376078452,"#bab0ac"
"Paper products",2010,"C17","C17",1,4738537,2338525.526,3144245.447,2400011.474,5544256.921,0.432882441812801,43.2882441812801,"#59a14f"
