"year","sector","activity","domestic_va_musd","total_va_musd","domestic_share","domestic_share_pct"
1995,"Chemicals & pharmaceuticals","C20_21",11855.789,24808.721,0.477887957222785,47.7887957222785
1996,"Chemicals & pharmaceuticals","C20_21",11430.246,24289.079,0.470591989099298,47.0591989099298
1997,"Chemicals & pharmaceuticals","C20_21",9652.463,21389.902,0.451262609805318,45.1262609805318
1998,"Chemicals & pharmaceuticals","C20_21",8767.098,21187.834,0.413779813453324,41.3779813453324
1999,"Chemicals & pharmaceuticals","C20_21",8742.914,21132.818,0.413712643529131,41.3712643529131
2000,"Chemicals & pharmaceuticals","C20_21",7957.951,20067.643,0.396556336984867,39.6556336984867
2001,"Chemicals & pharmaceuticals","C20_21",7688.555,20026.991,0.383909644738943,38.3909644738943
2002,"Chemicals & pharmaceuticals","C20_21",7268.464,20889.02,0.347956198998325,34.7956198998325
2003,"Chemicals & pharmaceuticals","C20_21",9895.726,26216.138,0.377466963288033,37.7466963288033
2004,"Chemicals & pharmaceuticals","C20_21",10155.177,29172.599,0.348106694230432,34.8106694230432
2005,"Chemicals & pharmaceuticals","C20_21",10438.791,30287.482,0.344656944410235,34.4656944410235
2006,"Chemicals & pharmaceuticals","C20_21",10084.177,31849.047,0.316624136351709,31.6624136351709
2007,"Chemicals & pharmaceuticals","C20_21",11117.664,36564.059,0.304059896632373,30.4059896632373
2008,"Chemicals & pharmaceuticals","C20_21",10116.927,39673.966,0.255001655241626,25.5001655241626
2009,"Chemicals & pharmaceuticals","C20_21",9809.738,37216.442,0.263586132172441,26.3586132172441
2010,"Chemicals & pharmaceuticals","C20_21",9610.49,36790.686,0.261220733965113,26.1220733965113
2011,"Chemicals & pharmaceuticals","C20_21",9986.774,39944.089,0.250018820056204,25.0018820056204
2012,"Chemicals & pharmaceuticals","C20_21",7214.96,35009.972,0.206082998295457,20.6082998295457
2013,"Chemicals & pharmaceuticals","C20_21",7901.777,35863.563,0.220328833473685,22.0328833473685
2014,"Chemicals & pharmaceuticals","C20_21",7334.174,37482.938,0.19566699920908,19.566699920908
2015,"Chemicals & pharmaceuticals","C20_21",6113.961,35072.203,0.174324977532777,17.4324977532777
2016,"Chemicals & pharmaceuticals","C20_21",6417.146,35826.173,0.179118936315079,17.9118936315079
2017,"Chemicals & pharmaceuticals","C20_21",5867.825,37150.914,0.157945643006253,15.7945643006253
2018,"Chemicals & pharmaceuticals","C20_21",6976.765,39305.702,0.177500073653436,17.7500073653436
2019,"Chemicals & pharmaceuticals","C20_21",6440.699,36831.195,0.17487075833407,17.487075833407
2020,"Chemicals & pharmaceuticals","C20_21",7698.544,39545.951,0.194673381353252,19.4673381353252
2021,"Chemicals & pharmaceuticals","C20_21",5382.206,43422.245,0.123950431397547,12.3950431397547
2022,"Chemicals & pharmaceuticals","C20_21",5723.123,46885.944,0.122064791955559,12.2064791955559
1995,"Electronics & electrical equipment","C26_27",10757.104,25422.297,0.42313658753967,42.313658753967
1996,"Electronics & electrical equipment","C26_27",9194.482,23303.079,0.394560821769518,39.4560821769518
1997,"Electronics & electrical equipment","C26_27",6964.215,20805.099,0.334735970254215,33.4735970254215
1998,"Electronics & electrical equipment","C26_27",6829.601,21773.768,0.31366187974447,31.366187974447
1999,"Electronics & electrical equipment","C26_27",6902.931,22385.571,0.308365196491972,30.8365196491972
2000,"Electronics & electrical equipment","C26_27",6350.433,23037.307,0.275658652289523,27.5658652289523
2001,"Electronics & electrical equipment","C26_27",5827.37,20247.513,0.287806704951863,28.7806704951862
